glyph_unified	src_ref	pronunciation	meaning
댉	U0-00101	pi⁵⁵	关，闭。
둠	U0-00102	pi⁵⁵	盖。
몢	U0-00103	pi⁵⁵	隐瞒。
냚	U0-00104	pi⁵⁵	使…背。
롋	U0-00105	pi⁵⁵	茧。
냛	U0-00106	pi⁵⁵	丙（天干的第三位）。
뻃	U0-00107	pi³³	使…分散。
벸	U0-00108	pi³³	（形容词缀）〖尖溜溜〗。
댊	U0-00109	pi³³	〖乒乒乓乓〗。
녆	U0-00110	pi³³	秸秆，干草。
눻	U0-00201	pi³³	〖稀烂〗。
럖	U0-00202	pi¹³	〖霍麻〗。
땰	U0-00203	pi¹³	来由。
늗	U0-00204	pi¹³	根由。〖格言，谚语〗。
낇	U0-00205	pi¹³	雄性（指禽类）。〖布拖〗（县名）。
뜼	U0-00206	pi¹³	容易。
딕	U0-00207	pi¹³	可以。
몣	U0-00208	pi¹³	（头部某些突出部分）〖前额〗。
묳	U0-00209	pi²¹	〖荨麻〗。
녇	U0-00301	pi¹³	〖草垫，篾席〗。
녈	U0-00302	pi²¹	锋利。
냜	U0-00303	pi²¹	下巴。
둡	U0-00304	pi²¹	严重，惨重。
늘	U0-00305	pi²¹	（受）伤。
뀅	U0-00306	pi²¹	〖埋怨〗。
루	U0-00307	pɪ⁵⁵	剩。
볭	U0-00308	pɪ³³	跳。动。
룩	U0-00309	pɪ³³	渣。〖糊状〗。〖不清洁，不卫生〗。
뿯	U0-00310	pɪ³³	（形容词词缀）〖胀鼓鼓〗。
녉	U0-00311	pɪ³³	跛。
먏	U0-00312	pɪ¹³	掏。
뿰	U0-00401	pɪ¹³	〖咒猫儿语〗。
녊	U0-00402	pɪ²¹	本（钱）。
뇾	U0-00403	pɪ²¹	泡（量词）。
렬	U0-00404	pe⁵⁵	〖全部〗。
뢖	U0-00405	pe⁵⁵	让。
벭	U0-00406	pe⁵⁵	飞舞。
롌	U0-00407	pe⁵⁵	可能。
룋	U0-00408	pe³³	阴门。
늙	U0-00409	pe³³	参（与）。〖方面〗。
릖	U0-00410	pe³³	分（蘖）。
뫶	U0-00411	pe²¹	蚌。
륹	U0-00412	pe²¹	刁难。诡辩。
봪	U0-00501	pe²¹	匾。
룑	U0-00502	pe²¹	（平面物体扭）翘。
뜽	U0-00503	pe²¹	〖屎（儿语）〗。
뻒	U0-00504	pɑ⁵⁵	乳。哺乳。
둢	U0-00505	pɑ⁵⁵	钩。
눼	U0-00506	pɑ⁵⁵	帮（助）。
돢	U0-00507	pɑ⁵⁵	替。
냝	U0-00508	pɑ⁵⁵	（食用肉的前缀词素）〖吃肉〗。〖喜鹊〗。
똧	U0-00509	pɑ⁵⁵	认。
뻓	U0-00510	pɑ³³	搭配。合作。
녋	U0-00511	pɑ³³	（伙）伴。
뻄	U0-00601	pɑ³³	敌。
뢪	U0-00602	pɑ³³	〖门转轴〗，〖门闩〗。
륺	U0-00603	pɑ³³	碗。
뻅	U0-00604	pɑ³³	想念，挂欠。
먐	U0-00605	pɑ³³	〖管，筒〗。
돣	U0-00606	pɑ³³	同类。
뗄	U0-00607	pɑ³³	（嘴）唇。
댋	U0-00608	pɑ³³	群（量词）。
룪	U0-00609	pɑ¹³	绊。
뽬	U0-00610	pɑ¹³	扣。
똨	U0-00611	pɑ¹³	挂（起）。
뽁	U0-00612	pɑ¹³	连累。
뱁	U0-00701	pɑ²¹	〖蘑菇〗。
뺑	U0-00702	pɑ²¹	〖敬酒〗。
됙	U0-00703	pɑ²¹	（须）根。
눽	U0-00704	pᴀ⁵⁵	（量词）根，头，个，条，只。
딦	U0-00705	pᴀ⁵⁵	（刀的前缀词素）〖刀子〗。巴（豆）。
뀙	U0-00706	pᴀ⁵⁵	特地，专门。
뎢	U0-00707	pæ⁵⁵	拜。
뜾	U0-00708	pæ²¹	（带柄工具名称的后缀词素）〖伞〗。把（量词）。（毛）倒，反。〖摞棒〗。
땱	U0-00709	pæ²¹	摆，陈列。
뾦	U0-00710	pɒ³³	在场。
빕	U0-00711	pɒ²¹	板结。
밨	U0-00712	po⁵⁵	（糖的前缀词素）〖糖〗，〖甘蔗〗。
뾧	U0-00801	po⁵⁵	〖槟榔〗。〖菠萝〗。
룒	U0-00802	po⁵⁵	排（水）。
뾨	U0-00803	po⁵⁵	〖埋怨〗。〖诉苦〗。
녌	U0-00804	po³³	（一定的）数量。
놽	U0-00805	po³³	玻（璃）。
럘	U0-00806	po³³	波动，沸腾。波（名词）。
럗	U0-00807	po³³	绸缎。茧。
늚	U0-00808	po³³	（襁）褓。
뾁	U0-00809	po³³	包，扎。
늛	U0-00810	po³³	钢。
렄	U0-00811	po³³	〖苞谷〗。
멦	U0-00812	po³³	〖耳朵〗。
룫	U0-00901	po³³	返，回。
뀚	U0-00902	po³³	翻。
맥	U0-00903	po³³	〖强调〗。
뀛	U0-00904	po³³	爆。（植物上的）泡斑。
땲	U0-00905	po³³	交易。贩卖。
뗅	U0-00906	po³³	（强行）使牲畜往一定方向走。
룬	U0-00907	po³³	蒙（鼓）。
뾮	U0-00908	po³³	〖果子狸〗。〖獾〗。
먑	U0-00909	po³³	煎，炸。
멧	U0-00910	po³³	材料。〖啄木鸟〗。
덙	U0-01001	po³³	倒塌。
뇿	U0-01002	po³³	拐骗（人）。
뾩	U0-01003	po³³	〖哨子〗。〖空壳〗。〖梭子〗。
뾯	U0-01004	po³³	〖手套〗。〖袜子〗。
붑	U0-01005	po³³	嘣（象声词）。
뗆	U0-01006	po³³	馒（头），包（子）。
렅	U0-01007	po¹³	〖梭子〗。
벮	U0-01008	po¹³	纬（线）。
뒍	U0-01009	po²¹	保护。担保。
붂	U0-01010	po²¹	〖拳头〗。〖胳膊〗。
냞	U0-01011	po²¹	（大口）吃。
롍	U0-01012	po²¹	绵，〖韧绵〗。
덚	U0-01013	po²¹	（一）切。
놾	U0-01101	po²¹	〖奉养〗。
멨	U0-01102	pu⁵⁵	〖栘𣐿果〗。
뚓	U0-01103	pu⁵⁵	刺（耳），吵（耳朵）。
뗇	U0-01104	pu⁵⁵	（震动）感。
롎	U0-01105	pu⁵⁵	肚（腹）。
땳	U0-01106	pu⁵⁵	使…滚。
뗸	U0-01107	pu⁵⁵	〖毛毛雨〗。〖霪雨〗。
뗹	U0-01108	pu⁵⁵	臀。〖腰杆〗。
방	U0-01109	pu⁵⁵	（碓）档。
뙖	U0-01110	pu⁵⁵	〖（松、杉的）嫩尖〗。
뚔	U0-01111	pu⁵⁵	〖斑茅草〗。
뙗	U0-01201	pu⁵⁵	〖摇钱树〗。
뺮	U0-01202	pu³³	缸，桶。（专指）桶。〖棺材〗。
렡	U0-01203	pu³³	蛙类。
뽜	U0-01204	pu³³	龟。
룭	U0-01205	pu³³	（手）掌。
볞	U0-01206	pu³³	（父系血缘相邻两辈间的）关系。〖波罗山〗。
믔	U0-01207	pu³³	块。穗。（量词）〖一块姜〗。
뤙	U0-01208	pu³³	（花）朵。朵（量词），〖一朵花〗。
냟	U0-01209	pu³³	论（说）。
뤚	U0-01210	pu³³	诉（说）。
냠	U0-01301	pu³³	雄性（泛指家畜）。
뷥	U0-01302	pu³³	骟（牛、猪）。
뤛	U0-01303	pu³³	〖云南〗。
삋	U0-01304	pu³³	嘟（嘴）。
붸	U0-01305	pu³³	搜查，抄。
놿	U0-01306	pu³³	（用嘴）拱。
둣	U0-01307	pu³³	驯服。〖田埂〗。
녍	U0-01308	pu³³	推动。
뜿	U0-01309	pu³³	〖骨头〗。
맗	U0-01310	pu¹³	刺猬。
뮳	U0-01311	pu¹³	〖白面狸〗。
룮	U0-01312	pu¹³	毕（摩）。〖毕摩祭祖灵〗。〖毕主哪慕格〗。念诵。〖崩遮博〗。
몤	U0-01401	pu²¹	绞。〖电缆〗。
뀆	U0-01402	pu²¹	裱褙。
뼂	U0-01403	pu²¹	调，拌。
맘	U0-01404	pu²¹	耢。
룯	U0-01405	pu²¹	（嘴）唇。
믨	U0-01406	pʊ³³	（形容词缀）〖光溜溜〗。
뇀	U0-01407	pʊ¹³	堆（动词）。
뚕	U0-01408	pʊ¹³	码，叠（动词）。
뗈	U0-01501	pʊ²¹	浓，稠。
뭏	U0-01502	pʊ²¹	渣，豆渣。汤中的菜。干的（与稀相对）。
뵍	U0-01503	pʊ²¹	含化。
맮	U0-01504	pɯ³³	（叹词）〖呗〗。〖武德本〗。〖敌博火液〗。
붮	U0-01505	pɤ³³	沾。
룰	U0-01506	pɤ³³	〖背箩〗。
뇁	U0-01507	pɤ³³	〖芦苇〗。
먒	U0-01508	pɤ²¹	〖蚕豆（胡豆）〗。
냡	U0-01509	pɤ²¹	神龛。〖肺〗。
붹	U0-01601	pɤ²¹	〖生血菜〗。
븲	U0-01602	pɤ²¹	〖老实，忠厚〗。
녎	U0-01603	pɤ²¹	诚实。
똩	U0-01604	pɿ³³	〖烧（炒）肉的气味〗。
묓	U0-01605	pie⁵⁵	〖浪费〗。
먓	U0-01606	pie⁵⁵	〖清楚，明白〗。
벹	U0-01607	pie¹³	很（副词）。
뛔	U0-01608	pʰi⁵⁵	耍赖。
뺟	U0-01609	pʰi⁵⁵	祖考（男祖先）。
봋	U0-01610	pʰi⁵⁵	〖（不会产崽的）母畜〗。
뿒	U0-01611	pʰi⁵⁵	〖哨子〗，〖空壳〗。〖破烂〗。
뮛	U0-01701	pʰi⁵⁵	干瘪（指植物果实）。
뎕	U0-01702	pʰi⁵⁵	裂。
뒎	U0-01703	pʰi³³	价值，价格。
댌	U0-01704	pʰi³³	〖臀部〗。
뭵	U0-01705	pʰi³³	祖妣（女祖先）。〖皮聂〗。〖祠堂神房〗。
뢫	U0-01706	pʰi³³	〖外祖母〗。〖舅娘〗。
딧	U0-01707	pʰi³³	〖平安，顺利〗。
뽵	U0-01708	pʰi³³	〖厦子（小屋檐）〗。
벉	U0-01709	pʰi³³	〖好久〗。
둗	U0-01710	pʰi³³	〖瘿袋（大脖子）〗。
룱	U0-01801	pʰi¹³	肿。
뭍	U0-01802	pʰi²¹	慢。
똉	U0-01803	pʰi²¹	〖任意，随便〗。
라	U0-01804	pʰi²¹	〖丢丑，丢脸〗。〖鸡胗〗。
뤜	U0-01805	pʰi²¹	礼仪。制度。
뤝	U0-01806	pʰi²¹	爵禄。碑刻。
띀	U0-01807	pʰi²¹	指责。放出（塘水、田水）。
뢈	U0-01808	pʰi²¹	〖脾气〗。
뙘	U0-01809	pʰi²¹	〖旁边〗。
뭽	U0-01810	pʰɪ³³	叠，折。
뒏	U0-01811	pʰɪ³³	卷（衣袖、裤脚）。
댍	U0-01901	pʰɪ³³	翘。
댎	U0-01902	pʰɪ¹³	（饮食过量）呕吐。
뮕	U0-01903	pʰɪ¹³	（恶心）呕吐。
땴	U0-01904	pʰɪ¹³	剥。
뮄	U0-01905	pʰɪ¹³	（吐）口水。
뭪	U0-01906	pʰɪ¹³	（水）溅。
뙙	U0-01907	pʰɪ¹³	（剖）开。
둤	U0-01908	pʰɪ²¹	幅（量词）。匹（量词），〖一匹名帛〗。
뙚	U0-01909	pʰɪ²¹	卷，本（量词）。
뢽	U0-01910	pʰe⁵⁵	缺损。
뵳	U0-01911	pʰe⁵⁵	（陶瓷、金属等）碎片。
뀳	U0-02001	pʰe⁵⁵	呛。打喷嚏。
딨	U0-02002	pʰe⁵⁵	〖钹〗。〖瓢〗。
륑	U0-02003	pʰḛ³³	〖单眼皮〗。
뫷	U0-02004	pʰe³³	〖咂酒〗。
땵	U0-02005	pʰe³³	旗。
롏	U0-02006	pʰe³³	页（码）。
댏	U0-02007	pʰe²¹	使…落。
뀴	U0-02008	pʰe²¹	灰（色）。
뀵	U0-02009	pʰe²¹	胛骨。
뀶	U0-02010	pʰe²¹	〖锄头〗。
륒	U0-02011	pʰe²¹	〖灰尘〗。
뿕	U0-02101	pʰe²¹	辣。
륓	U0-02102	pʰe²¹	〖背皮（背物套在额头上的皮带）〗。
뚱	U0-02103	pʰɛ¹³	剥。挑（刺）。
뫸	U0-02104	pʰɛ̰²¹	桩，件（峨山彝语）。
볱	U0-02105	pʰɛ²¹	膀。
멩	U0-02106	pʰɛ²¹	（漂流浪荡）〖浪子〗。
볻	U0-02107	pʰɛ²¹	（同）情。
럙	U0-02108	pʰɑ⁵⁵	掌。
뽷	U0-02109	pʰɑ⁵⁵	〖后天〗。
뒐	U0-02110	pʰɑ³³	（碓）担。
륔	U0-02111	pʰɑ³³	别。另。〖另外〗。
륕	U0-02112	pʰɑ³³	〖月琴〗。
낙	U0-02201	pʰɑ³³	边（方位词）。方（面）。
뙛	U0-02202	pʰɑ³³	侧。
뭾	U0-02203	pʰɑ¹³	叶。片（名词，量词）。
띁	U0-02204	pʰɑ¹³	〖精气灵气〗。
냢	U0-02205	pʰɑ²¹	半。
뱂	U0-02206	pʰɑ²¹	（一双里的一）只。
묔	U0-02207	pʰɑ²¹	〖贪污〗。
듦	U0-02208	pʰᴀ³³	〖凡是〗。
뻔	U0-02209	pʰæ⁵⁵	派（动词）。
뿈	U0-02301	pʰo³³	解释。
뀜	U0-02302	pʰo³³	翻（开）。
념	U0-02303	pʰo³³	反（叛）。
녏	U0-02304	pʰo³³	（奴）婢。
뾰	U0-02305	pʰo³³	酥，松脆（指食品）。松软。
뤞	U0-02306	pʰo³³	方法，办法，措施。
뷾	U0-02307	pʰo¹³	檬，〖檬树，姜子树，柚栗子树〗。
멪	U0-02308	pʰo²¹	（蜂）窝。
뀝	U0-02309	pʰo²¹	逃。
롐	U0-02310	pʰo²¹	嘭（象声词）。
뼱	U0-02401	pʰo²¹	〖缩口〗。
뾪	U0-02402	pʰo²¹	（帮，伙）〖你们这帮（伙）〗。
땶	U0-02403	pʰɔ²¹	轻率，马虎。
릷	U0-02404	pʰu⁵⁵	父（母），（阴）阳，男（女）。
뼃	U0-02405	pʰu⁵⁵	脑盖，〖头盖骨〗，〖头顶〗。
빷	U0-02406	pʰu⁵⁵	遇，〖他俩相遇〗。
럚	U0-02407	pʰu⁵⁵	〖茯苓〗。
뎣	U0-02408	pʰu⁵⁵	族（人）。（某地、某类）人。〖姑父〗，〖公公〗。
릸	U0-02409	pʰu⁵⁵	磨（动词，推磨）。
똊	U0-02410	pʰu⁵⁵	（苞谷）米。
뷔	U0-02501	pʰu⁵⁵	板，片。牌。
믕	U0-02502	pʰu⁵⁵	〖瓦〗。
삌	U0-02503	pʰu³³	丘（块）。
멫	U0-02504	pʰu³³	（成团的物质）〖泥巴团〗，〖饭团〗。
뫨	U0-02505	pʰu³³	瓶，壶。
뼲	U0-02506	pʰu³³	癣。生癣。
뇂	U0-02507	pʰu³³	锅。锅（量词）。
끗	U0-02508	pʰu³³	〖野葱（苦蒜）〗。
럛	U0-02509	pʰu³³	条（量词），〖一条裤子〗。
붍	U0-02510	pʰu³³	块（量词），〖一块木板〗。
뎔	U0-02601	pʰu³³	扇（量词），〖一扇磨子〗。
뵧	U0-02602	pʰu³³	〖水灯芯〗。
뢉	U0-02603	pʰu³³	〖土块〗。
멬	U0-02604	pʰu³³	〖群众，百姓〗。
뷿	U0-02605	pʰu³³	壅（土）。
릗	U0-02606	pʰu³³	〖家谱〗。
몥	U0-02607	pʰṵ³³	刮风。
뤟	U0-02608	pʰu²¹	糊涂。
삀	U0-02609	pʰu³³	（液体沸腾）溢出。
늜	U0-02610	pʰu²¹	开，〖开门〗。
둥	U0-02611	pʰu²¹	（说）明。〖过分〗。
뛕	U0-02612	pʰu²¹	劈（路）。
먔	U0-02701	pʰu²¹	发现。
룄	U0-02702	pʰu²¹	胀。
롻	U0-02703	pʰu²¹	（土）地。濮（人），〖武濮所〗，〖濮吐珠液〗。
봫	U0-02704	pʰu²¹	供养。
낚	U0-02705	pʰu²¹	噗（象声词）。
뒑	U0-02706	pʰu²¹	豁（出）。
볿	U0-02707	pʰu²¹	（花）盛开。
뤠	U0-02708	pʰu²¹	穿。
벖	U0-02709	pʰʊ²¹	布。
녑	U0-02710	pʰʊ²¹	帐。
묪	U0-02711	pʰʊ²¹	丛，蓬。〖喳蓬蓬〗。
뱚	U0-02712	pʰʊ²¹	〖囤箩〗。
뾺	U0-02801	pʰʊ²¹	〖水泡〗。
벊	U0-02802	pʰʊ²¹	〖枪，炮〗。
뫹	U0-02803	pʰʊ²¹	潮，〖海水潮〗。
믖	U0-02804	pʰʊ²¹	旺盛。
변	U0-02805	pʰɯ²¹	〖导火线〗。
뽂	U0-02806	pʰɿ³³	〖说话（讽刺）〗。
맯	U0-02807	pʰɤ³³	泡（形容词），〖泡木树〗。
끘	U0-02808	pʰɤ³³	丰盛。
똫	U0-02809	bi⁵⁵	给。
똪	U0-02810	bi⁵⁵	〖臭（味）〗，〖怪味〗。
뗉	U0-02811	bi⁵⁵	〖膀胱〗。
빎	U0-02901	bi⁵⁵	怀孕。
늝	U0-02902	bi⁵⁵	背（动词）。承担。
뭿	U0-02903	bi⁵⁵	天花。
뷃	U0-02904	bi⁵⁵	分散，散开。散乱。
뀞	U0-02905	bi⁵⁵	象声词（像枪弹飞驰声）。
볫	U0-02906	bi⁵⁵	虫。蚕。〖螃蟹〗。
늞	U0-02907	bi¹³	〖小腿肚〗。
멭	U0-02908	bi¹³	蹄。〖脚后跟〗。
딩	U0-02909	bi¹³	〖公马〗。
땷	U0-02910	bi²¹	（屋）脊。（牛背）峰。〖眉头〗。
듧	U0-03001	bi²¹	欠（债）。
늟	U0-03002	bi²¹	（颤）抖。
랃	U0-03003	bi²¹	〖另外〗。〖必于，必迭〗，〖必纳〗。
끙	U0-03004	bi²¹	〖松球〗。
빖	U0-03005	bi²¹	〖陀螺〗。
봬	U0-03006	bi²¹	（快速）旋转。
뮴	U0-03007	bi²¹	起始，〖始终〗，〖发明〗。〖布、默〗。
븎	U0-03008	bi²¹	倒毛。
끚	U0-03009	bi²¹	〖葵花籽〗，〖葵花〗。
멮	U0-03010	bi²¹	〖肚脐眼〗。
먕	U0-03101	bi²¹	拖。〖腰包，衣兜〗。〖韧绵〗。
늠	U0-03102	bi²¹	婆家。
마	U0-03103	bi²¹	〖葫芦〗。
막	U0-03104	bi²¹	〖天麻〗。
댐	U0-03105	bɪ⁵⁵	〖芋头〗。
끧	U0-03106	bɪ¹³	萌（发），萌（芽）。
띂	U0-03107	bɪ¹³	出（血，脓）。〖贝谷楷嘎〗。
둀	U0-03108	bɪ¹³	（开）裂。
뵨	U0-03109	bɪ¹³	破。
됚	U0-03110	bɪ¹³	煮（酒颗）。
뿜	U0-03111	bɪ²¹	〖鼻子〗。
녒	U0-03112	bɪ²¹	〖鼻涕〗。
뱼	U0-03201	be⁵⁵	落（在），落（入）。
븽	U0-03202	be⁵⁵	绊。
삢	U0-03203	be⁵⁵	骈生，〖骈指〗。
딪	U0-03204	be⁵⁵	〖蜥蜴〗。
뮋	U0-03205	be⁵⁵	鸭，〖鸭浮水〗。
무	U0-03206	be⁵⁵	（野）鸭。〖鸳鸯〗。
물	U0-03207	be⁵⁵	〖茨菇〗。
늡	U0-03208	be³³	茁壮。
몦	U0-03209	be³³	吵。
벋	U0-03210	be³³	袍，〖披袍〗。
먖	U0-03211	be³³	〖攀枝花，木棉〗。
돤	U0-03212	be³³	（豆）荚。〖酸角〗。
뙜	U0-03301	be³³	块，〖柴块〗。
뭫	U0-03302	be²¹	落，掉。〖柏雅妥洪〗。
듔	U0-03303	be²¹	〖便宜〗。
냣	U0-03304	be²¹	〖戏弄，逗乐〗。
뜜	U0-03305	be²¹	〖阿别纳〗。〖黄鼠狼〗。〖脚后跟〗。〖阿呗呗〗。
뭡	U0-03306	be²¹	〖银杏〗。〖苤蓝〗。
묽	U0-03307	be²¹	〖芝麻〗。〖柿子〗。
댑	U0-03308	be²¹	彗（星）。
붇	U0-03309	be²¹	〖篱笆〗。〖当面羞人〗。
뫺	U0-03310	bɛ⁵⁵	〖螃蟹〗。
볐	U0-03311	bɛ⁵⁵	暴露。
룲	U0-03401	bɛ³³	〖（牛）斗架〗。（象声词）（公羊追逐母羊发出的声音）。
뫻	U0-03402	bɛ³³	〖衣服〗，〖毡子〗。
롱	U0-03403	bɛ²¹	锤（子）。〖蜥蜴〗。
릫	U0-03404	bɛ²¹	笨拙。
뜝	U0-03405	be²¹	〖虾子〗。
뮽	U0-03406	bɑ⁵⁵	小，〖大小〗。（词尾）〖老熊〗。
멯	U0-03407	bɑ³³	〖规规整整，严严实实〗。
뚲	U0-03408	bɑ¹³	〖别作声〗。
븣	U0-03409	bɑ³³	爸，〖父亲，爸爸〗，〖我的父亲〗，〖幺叔〗。
뮑	U0-03410	bɑ³³	（相）依，〖相互依靠〗。〖想念，挂念〗。
뎏	U0-03411	bɑ³³	伴随。
뙝	U0-03412	bɑ³³	〖经常〗。
뼄	U0-03501	bɑ³³	（收庄稼掉落的）籽实，〖收落的稻穗〗。
뼒	U0-03502	bɑ³³	帘子。编（帘子）。
뼅	U0-03503	bɑ³³	比，〖比方〗。
뱬	U0-03504	bɑ³³	〖松明子〗。
뢗	U0-03505	bɑ³³	〖瘪〗。
벗	U0-03506	bɑ¹³	（牛的）蜂巢胃。
댒	U0-03507	bɑ¹³	〖离开群体〗。
뮓	U0-03508	bɑ¹³	〖婚配〗，〖巴第赫吐〗。
뎤	U0-03509	bɑ¹³	（乐器的）簧片，〖竹笙簧片〗。
롲	U0-03510	bɑ²¹	〖地椒〗。
딇	U0-03511	bɑ²¹	〖竹簾子（晒萝卜丝用）〗。
뾎	U0-03512	bɑ²¹	〖木瓜〗。〖敷衍〗。
냤	U0-03513	bæ³³	（墙壁的）洞眼。
똬	U0-03601	bæ³³	〖傣族，摆夷〗。
릠	U0-03602	bæ³³	索。
래	U0-03603	bæ³³	锅铲。
릹	U0-03604	bɒ³³	痴呆。
릺	U0-03605	bo⁵⁵	方，面。
룳	U0-03606	bo⁵⁵	〖猫头鹰〗。
붃	U0-03607	bo⁵⁵	〖腰围大、口径小、编织精细的篾箩〗。
룴	U0-03608	bo⁵⁵	（你、我、他）的。
랙	U0-03609	bo⁵⁵	家。
븏	U0-03610	bo⁵⁵	背（孩子）。
냥	U0-03611	bo⁵⁵	〖可惜〗。
녓	U0-03612	bo⁵⁵	（田）埂。
먗	U0-03701	bo³³	（畜生的）乳房。
뷄	U0-03702	bo³³	（晒谷场上翻粮食用的）刮板。
뗺	U0-03703	bo³³	疮。
렺	U0-03704	bo¹³	吻。
받	U0-03705	bo²¹	（富）有。
뷕	U0-03706	bo²¹	倍（数）。分（数）。
롽	U0-03707	bo²¹	（黑）暗。
볁	U0-03708	bo²¹	〖广阔〗。〖撮箕〗。
뮾	U0-03709	bo²¹	和睦。
뮿	U0-03710	bo²¹	口（量词）。顶（量词）。把（量词）。
뫼	U0-03711	bo²¹	（用牛、羊角做的）号角。
뷦	U0-03801	bo²¹	〖盖头帕（妇女头饰）〗。〖包茅，包茅缩酒〗。
똖	U0-03802	bo²¹	〖陀螺〗。
박	U0-03803	bo²¹	（刺）眼。
므	U0-03804	bo²¹	（肩）膀。
믗	U0-03805	bo²¹	生育。
뛭	U0-03806	bo²¹	（魂）魄。
듵	U0-03807	bo²¹	〖非正常死亡〗。
땸	U0-03808	bɔ³³	〖显然〗。
먘	U0-03809	bu⁵⁵	（洋）芋，〖洋芋〗。
볤	U0-03810	bu⁵⁵	〖灶〗，〖坑道〗，〖灶神〗。
믁	U0-03901	bu⁵⁵	（毛发蓬松）〖毛耸耸〗，〖松鼠〗。
병	U0-03902	bu⁵⁵	〖刺竹〗。
뎖	U0-03903	bu⁵⁵	熟地（开垦后种熟了的地）。
롾	U0-03904	bu⁵⁵	蚂（蚁）。
뀷	U0-03905	bu⁵⁵	（嫩、青）草，〖草药〗。
냧	U0-03906	bu³³	（不）只，（不）仅，〖不仅是两个〗。
냦	U0-03907	bu³³	坤（卦）。〖哎哺〗，〖哺额克〗。
댓	U0-03908	bu³³	〖鬼〗，〖鬼怪〗。〖螳螂〗。
몧	U0-03909	bu³³	〖祖父，爷爷〗，〖曾祖〗。
륖	U0-03910	bu³³	旁边。
뗊	U0-04001	bu³³	跟（同）。
뒒	U0-04002	bu³³	破，损。
둁	U0-04003	bu³³	片（量词）。
뛮	U0-04004	bu³³	（词缀）〖黄生生（指烤黄的食品）〗。
뚳	U0-04005	bu³³	雄性（专指山羊），〖公山羊〗。
띃	U0-04006	bu³³	间（量词）。
듶	U0-04007	bu³³	薄。稀。
띄	U0-04008	bu³³	窝（量词，指猪、狗、鸡等），〖一窝小鸡〗。
뾏	U0-04009	bu³³	聋。
뎥	U0-04010	bu³³	〖田埂〗。
먙	U0-04101	bu³³	〖太阳〗。
눾	U0-04102	bu³³	绘画。
뚴	U0-04103	bu³³	塑（像）。
뛯	U0-04104	bu³³	夭折。
뜞	U0-04105	bu³³	牺牲。
띤	U0-04106	bu³³	（庄稼）损失。
뷅	U0-04107	bu³³	缴获。
밟	U0-04108	bu³³	过敏。
묵	U0-04109	bu³³	（水）流。流，〖流眼泪〗。
먚	U0-04110	bu³³	偶像。菩萨。善事，积德，〖丧德，缺德〗。
럜	U0-04111	bu³³	帮，伙，班，队（量词）。〖附属品〗。
럝	U0-04112	bu³³	滚，〖石头滚下来〗。
늢	U0-04201	bu³³	身体。〖洗澡〗，〖月经（讳称）〗。
둦	U0-04202	bu³³	（松）脱。
뀇	U0-04203	bu³³	〖木渣〗。
볒	U0-04204	bu³³	〖花（色）〗，〖花马〗。
뜍	U0-04205	bu³³	〖故事〗，〖讲故事〗。
낈	U0-04206	bu³³	〖墙〗。
뺒	U0-04207	bu³³	〖砂锅〗。
볲	U0-04208	bu¹³	渡槽，〖水渡槽，涧槽〗。
먛	U0-04209	bu²¹	（粗）磨。
묶	U0-04210	bu²¹	漂浮。
댔	U0-04211	bu²¹	〖蝴蝶〗。
묷	U0-04212	bu²¹	游（泳），〖游泳〗，〖游泳池〗。
모	U0-04213	bu²¹	口（量词）。〖腮帮子〗。
뀸	U0-04301	bu²¹	吹嘘，夸口。
눀	U0-04302	bu²¹	〖男子汉，大丈夫〗。
띅	U0-04303	bu²¹	绵羊（古语）。
며	U0-04304	bu²¹	嚎叫。
뜎	U0-04305	bu²¹	〖蝼蛄〗。
먜	U0-04306	bu²¹	开（自动）。
뮵	U0-04307	bu²¹	〖（盖房用的）篱笆〗。
뛖	U0-04308	bu²¹	〖（鱼）鳞〗。
뮶	U0-04309	bu²¹	〖幽默风趣，诙谐〗。
둧	U0-04310	bʊ⁵⁵	（你、我、他）家。
뗋	U0-04311	bʊ⁵⁵	静，〖静悄悄〗。
맰	U0-04401	bʊ²¹	（小的）（畜）圈，〖猪圈〗。
댕	U0-04402	bʊ²¹	〖监狱〗。
뷧	U0-04403	bʊ²¹	山，〖大山〗，〖山〗，〖博乍戈〗。
늣	U0-04404	bʊ²¹	竹笙。
녔	U0-04405	bʊ²¹	堆（量词）。
븃	U0-04406	bʊ²¹	谢，〖谢谢〗。
댖	U0-04407	bʊ²¹	帮（名词）。
목	U0-04408	bʊ²¹	光亮，明亮，〖亮堂堂〗。〖月亮〗，〖光亮〗。〖光线〗，〖非正常死亡〗。
땹	U0-04409	bʊ²¹	〖大腿〗。
뙞	U0-04410	bʊ²¹	（脚）步。步（量词），〖一步〗。
낛	U0-04411	bʊ²¹	面（颊）。
볳	U0-04501	bɤ⁵⁵	（身肌）丰满。〖丝瓜〗。
맊	U0-04502	bɤ²¹	起（皮）。
뷖	U0-04503	bɤ²¹	〖轿子〗。
뽲	U0-04504	ᵐbi⁵⁵	（形容词缀）〖红彤彤〗。
먝	U0-04505	ᵐbi³³	钻（进）。
똭	U0-04506	ᵐbi³³	挤，〖挤进去〗。
뤡	U0-04507	ᵐbi³³	拱，〖猪拱地〗。
냨	U0-04508	ᵐbi²¹	鸣，叫。
늤	U0-04509	ᵐbi²¹	作客。
